Input_Term,Hiscox_COB,Full_Industry_Code,PL,GL,BOP,Cyber,Source
Cough drops (except medicated) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Crystallized fruits and fruit peel manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Dates, sugared and stuffed, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Fruit peel products (e.g., candied, crystallized, glace, glazed) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Fruits (e.g., candied, crystallized, glazed) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Fudge, nonchocolate, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Granola bars and clusters, nonchocolate, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Gum, chewing, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Halvah manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Hard candies manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Jelly candies manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Licorice candy manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Lozenges, nonmedicated, candy, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Marshmallow creme manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Marshmallows manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Marzipan (i.e., candy) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Nuts, covered (except chocolate covered), manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Popcorn balls manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Popcorn, candy covered popped, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Synthetic chocolate manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Toffee manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Baking chocolate made from cacao beans,OOA,                                    ,No,No,No ,No,NAICS
"Candy bars, chocolate (including chocolate covered), made from cacao beans",OOA,                                    ,No,No,No ,No,NAICS
"Candy, chocolate, made from cacao beans",OOA,                                    ,No,No,No ,No,NAICS
"Chocolate (e.g.,  coatings, instant, liquor, syrups) made from cacao beans",OOA,                                    ,No,No,No ,No,NAICS
Chocolate bars made from cocoa beans,OOA,                                    ,No,No,No ,No,NAICS
"Chocolate, confectionery, made from cacao beans",OOA,                                    ,No,No,No ,No,NAICS
"Coatings, chocolate, made from cacao beans",OOA,                                    ,No,No,No ,No,NAICS
"Cocoa (e.g., instant, mix, mixed with other ingredients, powder drink, powdered) made from cacao beans",OOA,                                    ,No,No,No ,No,NAICS
Cocoa butter made from cocoa beans,OOA,                                    ,No,No,No ,No,NAICS
Confectionery chocolate made from cacao beans,OOA,                                    ,No,No,No ,No,NAICS
Cooking chocolate made from cacao beans,OOA,                                    ,No,No,No ,No,NAICS
"Drink powdered mixes, cocoa, made from cacao",OOA,                                    ,No,No,No ,No,NAICS
"Fudge, chocolate, made from cacao beans",OOA,                                    ,No,No,No ,No,NAICS
"Granola bars and clusters, chocolate, made from cacao beans",OOA,                                    ,No,No,No ,No,NAICS
"Liquor, chocolate, made from cacao beans",OOA,                                    ,No,No,No ,No,NAICS
"Nuts, chocolate covered, made from cacao beans",OOA,                                    ,No,No,No ,No,NAICS
"Syrup, chocolate, made from cacao beans",OOA,                                    ,No,No,No ,No,NAICS
Baking chocolate made from purchased chocolate,OOA,                                    ,No,No,No ,No,NAICS
"Candy stores, chocolate, candy made on premises not for immediate consumption",Candy & Confectionery Stores,44529200_11101100_00000001,No,No,Yes,Yes,NAICS
"Chocolate (coating, instant, liquor, syrups) made from purchased chocolate",OOA,                                    ,No,No,No ,No,NAICS
Chocolate coatings and syrups made from purchased chocolate,OOA,                                    ,No,No,No ,No,NAICS
Chocolate covered candy bars made from purchased chocolate,OOA,                                    ,No,No,No ,No,NAICS
Chocolate covered granola bars made from purchased chocolate,OOA,                                    ,No,No,No ,No,NAICS
"Cocoa, powdered drink, prepared, made from purchased chocolate",OOA,                                    ,No,No,No ,No,NAICS
"Cocoa, powdered, made from purchased chocolate",OOA,                                    ,No,No,No ,No,NAICS
"Cocoa, powdered, mixed with other ingredients, made from purchased chocolate",OOA,                                    ,No,No,No ,No,NAICS
"Drink powdered mixes, cocoa, made from purchased cocoa",OOA,                                    ,No,No,No ,No,NAICS
"Fudge, chocolate, made from purchased chocolate",OOA,                                    ,No,No,No ,No,NAICS
"Granola bars and clusters, chocolate, made from purchased chocolate",OOA,                                    ,No,No,No ,No,NAICS
"Liquor, chocolate, made from purchased chocolate",OOA,                                    ,No,No,No ,No,NAICS
"Nuts, chocolate covered, made from purchased chocolate",OOA,                                    ,No,No,No ,No,NAICS
"Syrup, chocolate, made from purchased chocolate",OOA,                                    ,No,No,No ,No,NAICS
Blast freezing on a contract basis,OOA,                                    ,No,No,No ,No,NAICS
"Citrus pulp, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Concentrates, frozen fruit juice, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"French fries, frozen, pre-cooked, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Frozen ades, drinks and cocktail mixes, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Frozen citrus pulp manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Frozen fruit and vegetable processing,OOA,                                    ,No,No,No ,No,NAICS
"Frozen fruits, fruit juices, and vegetables, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Fruit juice concentrates, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Fruits, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Juices, fruit or vegetable concentrates, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Juices, fruit or vegetable, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Vegetable juice concentrates, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Vegetables, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Chop suey, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Chow mein, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Dinners, frozen (except seafood-based), manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"French toast, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Frozen dinners (except seafood-based) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Frozen food entrees (except seafood-based), packaged, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Frozen pizza manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Frozen pot pies manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Frozen rice dishes manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Frozen side dishes manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Frozen soups (except seafood) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Frozen waffles manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Macaroni, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Meatless patties, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Mexican foods, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Nationality specialty foods, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Pancakes, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Pizzas, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Pot pies, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Soups, frozen (except seafood), manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Vegetable patties, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Waffles, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Whipped topping, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Artichokes, canned, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Barbecue sauce manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Berries, canned, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Beverages, fruit and vegetable juice, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Brining of fruits and vegetables,OOA,                                    ,No,No,No ,No,NAICS
Canning fruits and vegetables,OOA,                                    ,No,No,No ,No,NAICS
Canning jams and jellies,OOA,                                    ,No,No,No ,No,NAICS
Catsup manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Chili sauce manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Fruit brining,OOA,                                    ,No,No,No ,No,NAICS
Fruit butters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Fruit juice canning,OOA,                                    ,No,No,No ,No,NAICS
"Fruit juices, fresh, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Fruit pickling,OOA,                                    ,No,No,No ,No,NAICS
"Fruit pie fillings, canning",OOA,                                    ,No,No,No ,No,NAICS
Fruits pickling,OOA,                                    ,No,No,No ,No,NAICS
"Fruits, canned, bottled, and jarred, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Hominy, canned, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Horseradish (except sauce) canning,OOA,                                    ,No,No,No ,No,NAICS
Jellies and jams manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Juices, fruit or vegetable, canned manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Juices, fruit or vegetable, fresh, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Ketchup manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Marmalade manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Mushrooms canning,OOA,                                    ,No,No,No ,No,NAICS
Olives brined,OOA,                                    ,No,No,No ,No,NAICS
Onions pickled,OOA,                                    ,No,No,No ,No,NAICS
"Pastes, fruit and vegetable, canning",OOA,                                    ,No,No,No ,No,NAICS
Pickles manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Pickling fruits and vegetables,OOA,                                    ,No,No,No ,No,NAICS
"Preserves (e.g., imitation) canning",OOA,                                    ,No,No,No ,No,NAICS
Relishes canning,OOA,                                    ,No,No,No ,No,NAICS
Salsa canning,OOA,                                    ,No,No,No ,No,NAICS
"Sauces, tomato-based, canning",OOA,                                    ,No,No,No ,No,NAICS
Sauerkraut manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Spaghetti sauce canning,OOA,                                    ,No,No,No ,No,NAICS
Vegetable brining,OOA,                                    ,No,No,No ,No,NAICS
"Vegetable canning, bottling, and jarring",OOA,                                    ,No,No,No ,No,NAICS
Vegetable juices canning,OOA,                                    ,No,No,No ,No,NAICS
"Vegetable juices, fresh, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Vegetables pickling,OOA,                                    ,No,No,No ,No,NAICS
Baby foods (including meats) canning,OOA,                                    ,No,No,No ,No,NAICS
Baked beans canning,OOA,                                    ,No,No,No ,No,NAICS
"Beans, baked, canning",OOA,                                    ,No,No,No ,No,NAICS
Bouillon canning,OOA,                                    ,No,No,No ,No,NAICS
Broth (except seafood) canning,OOA,                                    ,No,No,No ,No,NAICS
Canning soups (except seafood),OOA,                                    ,No,No,No ,No,NAICS
Chili con carne canning,OOA,                                    ,No,No,No ,No,NAICS
Chinese foods canning,OOA,                                    ,No,No,No ,No,NAICS
Dry beans canning,OOA,                                    ,No,No,No ,No,NAICS
Gravy canning,OOA,                                    ,No,No,No ,No,NAICS
Infant and junior food canning,OOA,                                    ,No,No,No ,No,NAICS
Italian foods canning,OOA,                                    ,No,No,No ,No,NAICS
"Meat canning, baby food, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Mexican foods canning,OOA,                                    ,No,No,No ,No,NAICS
"Nationality specialty foods canning, bottling, and jarring",OOA,                                    ,No,No,No ,No,NAICS
Pasta based products canning,OOA,                                    ,No,No,No ,No,NAICS
Pork and beans canning,OOA,                                    ,No,No,No ,No,NAICS
Soups (except seafood) canning,OOA,                                    ,No,No,No ,No,NAICS
Spaghetti canning,OOA,                                    ,No,No,No ,No,NAICS
Bouillon made in dehydration plants,OOA,                                    ,No,No,No ,No,NAICS
"Dates, dried, made in dehydration plants",OOA,                                    ,No,No,No ,No,NAICS
Dehydrating fruits and vegetables,OOA,                                    ,No,No,No ,No,NAICS
"Dehydrating potato products (e.g., flakes, granules)",OOA,                                    ,No,No,No ,No,NAICS
"Freeze-dried, food processing, fruits and vegetables",OOA,                                    ,No,No,No ,No,NAICS
"Fruit and vegetables, dehydrating, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Fruits dehydrating (except sun drying),OOA,                                    ,No,No,No ,No,NAICS
"Grapes, artificially drying",OOA,                                    ,No,No,No ,No,NAICS
Noodle mixes made in dehydration plants,OOA,                                    ,No,No,No ,No,NAICS
"Olives, dried, made in dehydration plants",OOA,                                    ,No,No,No ,No,NAICS
"Potato products (e.g., flakes, granules) dehydrating",OOA,                                    ,No,No,No ,No,NAICS
"Prunes, dried, made in dehydration plants",OOA,                                    ,No,No,No ,No,NAICS
Raisins made in dehydration plants,OOA,                                    ,No,No,No ,No,NAICS
"Rice mixes (i.e., uncooked and packaged with other ingredients) made in dehydration plants",OOA,                                    ,No,No,No ,No,NAICS
"Salad dressing mixes, dry, made in dehydration plants",OOA,                                    ,No,No,No ,No,NAICS
"Sauce mixes, dry, made in dehydration plants",OOA,                                    ,No,No,No ,No,NAICS
Soup mixes made in dehydration plants,OOA,                                    ,No,No,No ,No,NAICS
Sulphured fruits and vegetables manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Vegetables dehydrating,OOA,                                    ,No,No,No ,No,NAICS
Acidophilus milk manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Almond milk manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Beverages, milk based (except dietary), manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Buttermilk manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Cheese, cottage,  manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Chocolate drink (milk based) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Chocolate milk manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Cottage cheese manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Cream manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Dips, sour cream based, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Drink, chocolate milk, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Eggnog, fresh, nonalcoholic, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Eggnog, nonalcoholic (except canned), manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Flavored milk drinks manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Fluid milk substitutes processing,OOA,                                    ,No,No,No ,No,NAICS
Homogenizing milk,OOA,                                    ,No,No,No ,No,NAICS
Milk based drinks (except dietary) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Milk drink, chocolate, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Milk pasteurizing,OOA,                                    ,No,No,No ,No,NAICS
"Milk processing (e.g., bottling, homogenizing, pasteurizing, vitaminizing) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Milk substitutes manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Milk, acidophilus, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Milk, fluid (except canned), manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Nondairy creamers, liquid, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Nondairy yogurt (except frozen) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Oat milk manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Pasteurizing milk,OOA,                                    ,No,No,No ,No,NAICS
Rice milk manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Sour cream manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Sour cream substitutes manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Soy milk manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Whipped topping (except dry mix, frozen) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Whipping cream manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Yogurt (except frozen) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Anhydrous butterfat manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Butter manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Butter, creamery and whey, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Creamery butter manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Whey butter manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Cheese (except cottage cheese) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Cheese analogs manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Cheese products, imitation or substitute, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Cheese spreads manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Cheese, imitation or substitute, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Cheese, natural (except cottage cheese), manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Curds, cheese, made in a cheese plant, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Dips, cheese based, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Nondairy cheese manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Nondairy cheese products manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Processed cheeses manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Spreads, cheese, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Whey, raw, liquid, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Baby formula, fresh, processed, and bottled, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Beverages, dietary, dairy and nondairy based",OOA,                                    ,No,No,No ,No,NAICS
"Casein, dry and wet, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Condensed milk manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Condensed, evaporated or powdered whey, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Cream, dried and powdered, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Dairy food canning,OOA,                                    ,No,No,No ,No,NAICS
Dehydrated milk manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Dietary drinks, dairy and nondairy based, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Dry milk manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Dry milk products and mixture manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Dry milk products for animal feed manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Eggnog, canned, nonalcoholic, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Evaporated milk manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Feed grade dry milk products manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Ice cream mix manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Ice milk mix manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Infant's formulas manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Lactose manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Malted milk manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Milk based drinks, dietary, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Milk, concentrated, condensed, dried, evaporated, and powdered, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Milk, malted, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Milk, powdered, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Milk, ultra high temperature, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Milkshake mixes manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Mix, ice cream, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Nondairy creamers, dry, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Nonfat dry milk manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Powdered milk manufacturing,OOA,                                    ,No,No,No ,No,NAICS
UHT (ultra high temperature) milk manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Whey, condensed, dried, evaporated, and powdered, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Whipped topping, dry mix, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Yogurt mix manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Custard, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Desserts, frozen (except bakery), manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Frozen custard manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Frozen dairy product substitutes manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Frozen desserts (except bakery) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Fruit pops, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Ice cream manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Ice cream specialties manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Ice milk manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Ice milk specialties manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Ices, flavored sherbets, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Juice pops, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Nondairy frozen desserts (except bakery) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Nondairy frozen yogurt manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Nondairy ice cream manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Pudding pops, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Sherbets manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Tofu frozen desserts manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Yogurt, frozen, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Abattoirs,OOA,                                    ,No,No,No ,No,NAICS
Animal fats (except poultry and small game) produced in slaughtering plants,OOA,                                    ,No,No,No ,No,NAICS
"Bacon, slab and sliced, produced in slaughtering plants",OOA,                                    ,No,No,No ,No,NAICS
"Beef carcasses, half carcasses, primal and sub-primal cuts, produced in slaughtering plants",OOA,                                    ,No,No,No ,No,NAICS
Beef produced in slaughtering plants,OOA,                                    ,No,No,No ,No,NAICS
Boxed beef produced in slaughtering plants,OOA,                                    ,No,No,No ,No,NAICS
Boxed meats produced in slaughtering plants,OOA,                                    ,No,No,No ,No,NAICS
Canned meats (except poultry) produced in slaughtering plants,OOA,                                    ,No,No,No ,No,NAICS
Cured hides and skins produced in slaughtering plants,OOA,                                    ,No,No,No ,No,NAICS
Custom slaughtering,OOA,                                    ,No,No,No ,No,NAICS
"Fats, animal (except poultry, small game), produced in slaughtering plants",OOA,                                    ,No,No,No ,No,NAICS
Hams (except poultry) produced in slaughtering plants,OOA,                                    ,No,No,No ,No,NAICS
Hides and skins produced in slaughtering plants,OOA,                                    ,No,No,No ,No,NAICS
Horsemeat produced in slaughtering plants,OOA,                                    ,No,No,No ,No,NAICS
Hot dogs (except poultry) produced in slaughtering plants,OOA,                                    ,No,No,No ,No,NAICS
"Inedible products (e.g., hides, skins, pulled wool, wool grease) produced in slaughtering plants",OOA,                                    ,No,No,No ,No,NAICS
"Lamb carcasses, half carcasses, primal and sub-primal cuts, produced in slaughtering plants",OOA,                                    ,No,No,No ,No,NAICS
Lard produced in slaughtering plants,OOA,                                    ,No,No,No ,No,NAICS
Luncheon meat (except poultry) produced in slaughtering plants,OOA,                                    ,No,No,No ,No,NAICS
Meat canning (except poultry) produced in slaughtering plants,OOA,                                    ,No,No,No ,No,NAICS
"Meats fresh, chilled or frozen (except poultry and small game), produced in slaughtering plants",OOA,                                    ,No,No,No ,No,NAICS
"Meats, cured or smoked, produced in slaughtering plants",OOA,                                    ,No,No,No ,No,NAICS
"Pork carcasses, half carcasses, and primal and sub-primal cuts produced in slaughtering plants",OOA,                                    ,No,No,No ,No,NAICS
"Sausage casings, natural, produced in slaughtering plant",OOA,                                    ,No,No,No ,No,NAICS
"Slaughtering, custom",OOA,                                    ,No,No,No ,No,NAICS
Tallow produced in a slaughtering plant,OOA,                                    ,No,No,No ,No,NAICS
"Variety meats, edible organs, made in slaughtering plants",OOA,                                    ,No,No,No ,No,NAICS
"Veal carcasses, half carcasses, primal and sub-primal cuts, produced in slaughtering plants",OOA,                                    ,No,No,No ,No,NAICS
"Bacon, slab and sliced, made from purchased carcasses",OOA,                                    ,No,No,No ,No,NAICS
Beef stew made from purchased carcasses,OOA,                                    ,No,No,No ,No,NAICS
"Beef, primal and sub-primal cuts, made from purchased carcasses",OOA,                                    ,No,No,No ,No,NAICS
Bologna made from purchased carcasses,OOA,                                    ,No,No,No ,No,NAICS
Boxed beef made from purchased carcasses,OOA,                                    ,No,No,No ,No,NAICS
Boxed meat produced from purchased carcasses,OOA,                                    ,No,No,No ,No,NAICS
Collagen sausage casings made from purchased hides,OOA,                                    ,No,No,No ,No,NAICS
Cooked meats made from purchased carcasses,OOA,                                    ,No,No,No ,No,NAICS
Corned meats made from purchases carcasses,OOA,                                    ,No,No,No ,No,NAICS
"Cured meats (e.g., brined, dried, and salted) made from purchased carcasses",OOA,                                    ,No,No,No ,No,NAICS
Dried meats made from purchased carcasses,OOA,                                    ,No,No,No ,No,NAICS
"Frozen meat pies (i.e., tourtiere) made from purchased carcasses",OOA,                                    ,No,No,No ,No,NAICS
"Hams, canned, made from purchased carcasses",OOA,                                    ,No,No,No ,No,NAICS
"Hams, preserved (except poultry), made from purchased carcasses",OOA,                                    ,No,No,No ,No,NAICS
Hot dogs (except poultry) made from purchased carcasses,OOA,                                    ,No,No,No ,No,NAICS
"Lamb, primal and sub-primal cuts, made from purchased carcasses",OOA,                                    ,No,No,No ,No,NAICS
Luncheon meat (except poultry) made from purchased carcasses,OOA,                                    ,No,No,No ,No,NAICS
"Meat canning (except baby food, pet food, poultry), made from purchased carcasses",OOA,                                    ,No,No,No ,No,NAICS
Meat extracts made from purchased carcasses,OOA,                                    ,No,No,No ,No,NAICS
"Meat products canning (except baby food, pet food, poultry) made from purchased carcasses",OOA,                                    ,No,No,No ,No,NAICS
"Meats (except poultry), cured or smoked, made from purchased carcasses",OOA,                                    ,No,No,No ,No,NAICS
"Meats, fresh or chilled  (except poultry and small game), frozen, made from purchased carcasses",OOA,                                    ,No,No,No ,No,NAICS
Pastrami made from purchased carcasses,OOA,                                    ,No,No,No ,No,NAICS
"Pig's feet, cooked and pickled, made from purchased carcasses",OOA,                                    ,No,No,No ,No,NAICS
"Pork, primal and sub-primal cuts, made from purchased carcasses",OOA,                                    ,No,No,No ,No,NAICS
Potted meats made from purchased carcasses,OOA,                                    ,No,No,No ,No,NAICS
Processed meats manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Salted meats made from purchased carcasses,OOA,                                    ,No,No,No ,No,NAICS
"Sandwich spreads, meat, made from purchased carcasses",OOA,                                    ,No,No,No ,No,NAICS
Sausage and similar cased products made from purchased carcasses,OOA,                                    ,No,No,No ,No,NAICS
"Sausage casings, collagen, made from purchased hides",OOA,                                    ,No,No,No ,No,NAICS
Smoked meats made from purchased carcasses,OOA,                                    ,No,No,No ,No,NAICS
"Variety meats, edible organs, made from purchased meats",OOA,                                    ,No,No,No ,No,NAICS
"Veal, primal and sub-primal cuts, made from purchased carcasses",OOA,                                    ,No,No,No ,No,NAICS
Animal fats rendering,OOA,                                    ,No,No,No ,No,NAICS
Animal oil rendering,OOA,                                    ,No,No,No ,No,NAICS
"Bones, fat, rendering",OOA,                                    ,No,No,No ,No,NAICS
"Fats, animal, rendering",OOA,                                    ,No,No,No ,No,NAICS
Grease rendering,OOA,                                    ,No,No,No ,No,NAICS
Lard made from purchased fat,OOA,                                    ,No,No,No ,No,NAICS
